Rep Name,Region,Base Salary,Quota,Deal Date,Product,Deal Amount,Commission Rate,Commission Earned
Rep_1,North,"$67,969.00",115820,7/27/2024,Support,"$14,363.50",0.07,"$1,005.45"
Rep_1,North,"$67,969.00",115820,7/27/2024,Software,"$28,767.86",0.1,"$2,876.79"
Rep_1,North,"$67,969.00",115820,7/27/2024,Support,"$23,299.85",0.1,"$2,329.99"
Rep_1,North,"$67,969.00",115820,7/27/2024,Consulting,"$19,966.46",0.07,"$1,397.65"
Rep_1,North,"$67,969.00",115820,7/27/2024,Support,"$8,900.47",0.05,$445.02
Rep_1,North,"$67,969.00",115820,7/27/2024,Hardware,"$8,899.86",0.05,$444.99
Rep_1,North,"$67,969.00",115820,7/27/2024,Consulting,"$6,452.09",0.05,$322.60
Rep_1,North,"$67,969.00",115820,7/27/2024,Software,"$26,654.40",0.1,"$2,665.44"
Rep_1,North,"$67,969.00",115820,7/27/2024,Software,"$20,027.88",0.1,"$2,002.79"
Rep_1,North,"$67,969.00",115820,7/27/2024,Support,"$22,701.81",0.1,"$2,270.18"
Rep_1,North,"$67,969.00",115820,6/16/2024,Software,"$5,514.61",0.05,$275.73
Rep_1,North,"$67,969.00",115820,6/16/2024,Consulting,"$29,247.75",0.1,"$2,924.78"
Rep_1,North,"$67,969.00",115820,12/4/2024,Consulting,"$25,811.07",0.1,"$2,581.11"
Rep_1,North,"$67,969.00",115820,12/4/2024,Consulting,"$10,308.48",0.07,$721.59
Rep_1,North,"$67,969.00",115820,12/4/2024,Hardware,"$9,545.62",0.05,$477.28
Rep_1,North,"$67,969.00",115820,12/4/2024,Hardware,"$9,585.11",0.05,$479.26
Rep_1,North,"$67,969.00",115820,12/4/2024,Software,"$12,606.06",0.07,$882.42
Rep_1,North,"$67,969.00",115820,6/23/2024,Hardware,"$18,118.91",0.07,"$1,268.32"
Rep_1,North,"$67,969.00",115820,6/23/2024,Hardware,"$15,798.63",0.07,"$1,105.90"
Rep_1,North,"$67,969.00",115820,6/23/2024,Software,"$12,280.73",0.07,$859.65
Rep_1,North,"$67,969.00",115820,6/23/2024,Software,"$20,296.32",0.1,"$2,029.63"
Rep_1,North,"$67,969.00",115820,3/10/2024,Support,"$8,487.35",0.05,$424.37
Rep_1,North,"$67,969.00",115820,3/10/2024,Support,"$12,303.62",0.07,$861.25
Rep_1,North,"$67,969.00",115820,3/10/2024,Hardware,"$14,159.05",0.07,$991.13
Rep_1,North,"$67,969.00",115820,3/10/2024,Support,"$16,401.75",0.07,"$1,148.12"
Rep_1,North,"$67,969.00",115820,3/10/2024,Support,"$24,629.40",0.1,"$2,462.94"
Rep_1,North,"$67,969.00",115820,3/10/2024,Support,"$9,991.84",0.05,$499.59
Rep_1,North,"$67,969.00",115820,3/10/2024,Software,"$17,855.86",0.07,"$1,249.91"
Rep_1,North,"$67,969.00",115820,3/10/2024,Software,"$19,810.36",0.07,"$1,386.73"
Rep_1,North,"$67,969.00",115820,3/10/2024,Hardware,"$6,161.26",0.05,$308.06
Rep_1,North,"$67,969.00",115820,3/10/2024,Consulting,"$20,188.62",0.1,"$2,018.86"
Rep_1,North,"$67,969.00",115820,8/11/2024,Consulting,"$9,263.10",0.05,$463.16
Rep_1,North,"$67,969.00",115820,8/11/2024,Consulting,"$6,626.29",0.05,$331.31
Rep_1,North,"$67,969.00",115820,8/11/2024,Software,"$28,722.14",0.1,"$2,872.21"
Rep_1,North,"$67,969.00",115820,8/11/2024,Support,"$29,140.80",0.1,"$2,914.08"
Rep_1,North,"$67,969.00",115820,6/5/2024,Hardware,"$25,209.93",0.1,"$2,520.99"
Rep_1,North,"$67,969.00",115820,6/5/2024,Support,"$12,615.34",0.07,$883.07
Rep_1,North,"$67,969.00",115820,6/5/2024,Software,"$7,441.80",0.05,$372.09
Rep_1,North,"$67,969.00",115820,6/5/2024,Hardware,"$22,105.83",0.1,"$2,210.58"
Rep_1,North,"$67,969.00",115820,6/5/2024,Software,"$16,003.81",0.07,"$1,120.27"
Rep_1,North,"$67,969.00",115820,6/5/2024,Hardware,"$8,050.96",0.05,$402.55
Rep_1,North,"$67,969.00",115820,6/5/2024,Hardware,"$17,379.42",0.07,"$1,216.56"
Rep_1,North,"$67,969.00",115820,6/5/2024,Hardware,"$5,859.71",0.05,$292.99
Rep_1,North,"$67,969.00",115820,6/5/2024,Consulting,"$27,733.01",0.1,"$2,773.30"
Rep_1,North,"$67,969.00",115820,11/3/2024,Support,"$11,469.50",0.07,$802.87
